"dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","status","status_desc","crm_cd_1","location","lat","lon"
232104250,2023-01-08,2022-12-31,1630,21,"Topanga",2158,1,480,"BIKE - STOLEN",32,"F","W",119,"PORCH, RESIDENTIAL","IC","Invest Cont",480,"21000    ERWIN                        ST",34.1828,-118.5916
230118134,2023-08-18,2023-08-01,1630,1,"Central",121,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",33,"F","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",341,"900 W  TEMPLE                       ST",34.0607,-118.2494
200709061,2020-05-09,2020-05-09,520,7,"Wilshire",749,1,310,"BURGLARY",64,"M","W",203,"OTHER BUSINESS","IC","Invest Cont",310,"4200    WILSHIRE                     BL",34.0618,-118.3191
232015268,2023-09-10,2023-09-10,515,20,"Olympic",2026,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",29,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",626,"400 S  KENMORE                      AV",34.0672,-118.2966
240712479,2024-11-05,2024-11-02,1245,7,"Wilshire",752,2,354,"THEFT OF IDENTITY",29,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",354,"1200 S  FAIRFAX                      AV",34.0558,-118.3706
231800583,2023-03-09,2023-03-09,2045,18,"Southeast",1832,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",29,"F","H",101,"STREET","AO","Adult Other",626,"104TH                        ST",33.9419,-118.2797
231421980,2023-12-18,2023-12-14,900,14,"Pacific",1494,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",35,"M","W",212,"TRANSPORTATION FACILITY (AIRPORT)","IC","Invest Cont",740,"200    WORLD                        WY",33.9455,-118.4003
240208882,2024-04-17,2024-04-16,2100,2,"Rampart",261,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","IC","Invest Cont",510,"800 S  GRAND VIEW                   ST",34.0558,-118.28
221205801,2022-02-04,2022-02-03,1930,12,"77th Street",1265,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","IC","Invest Cont",510,"RAYMOND",33.9632,-118.2976
210207564,2021-04-01,2021-04-01,755,2,"Rampart",211,2,354,"THEFT OF IDENTITY",34,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",354,"500 N  ALEXANDRIA                   AV",34.079,-118.2981
